sentiment,text
positive,"Fit well, great price. Great alternative and cheaper than new seats for a Jeep who carries dogs and leaves the too off. Husband likes them a lot!"
negative,"Not as plush as photo and Velcro u derisi de, not what was expected but may be better for slipping."
positive,I added some high heat spray paint around where the old muffler had rusted through hopefully prolonging the life of this new one. Installation was easy and fit my 11 Cube perfectly.
positive,Just what my husband wanted. Word of advice take headlamp assembly out for easier installation.
negative,Not worth the money. Does little if anything to reduce noise or vibration.
negative,"These crosses are flimzy, very sticky on the top and hardle sticky on the bottom. They are all bunched up and looks like someone crumbled them in a ball.<br />They are dirty looking and no where near shiney like the pics show them to be.<br />Waste of money... DO NOT BUY"
positive,"Bought for an 09 Rhino 700 SE, fit was great and no issues after 6 months of riding."
positive,Awesome travel bag. We took it on a 6 hour drive through heavy rains and everything was bone dry when we arrived.
negative,"Very rigid and hard to install on steering wheel.  I have yet to get it on. Instructions state to warm it with a hair dryer. Last I checked,  there aren't sufficient plugs in a car to use a hair dryer. The purpose of the cover is to protect my hands from the cold steering wheel.  If I warm it in the house, it'll be cooled before I get it outside.  I'm in the northeast!"
positive,"The in-line channel vent visors are the most professional appearing, so it was what we set out looking for.  Several years ago had to buy directly from Lund (Auto Vent Shade). So glad Amazon offered these, as they are identical to ones we bought for an identical car.  Excellent fit, easy to install, and does the job they were designed for."
positive,Great hitch !<br />Simple install on 2011 chevy express<br />1/2 ton
positive,"I bought this clock to put on the dashboard of my boat, and it is perfect.  It takes up very little space, and if you did not know it was an add-on to the boat you would assume it was original equipment.  It was very easy to install and set the time.  I will be curious to see how long the battery lasts, and how difficult it will be to replace the battery."
positive,"Living in the cold batteries have a tendency to die when you least expect them. On top of that we have a couple of vehicles that don't get driven as often so we like to have these for our various cars.<br /><br />Luckily it has been a warmer than usual winter so I haven't had to use this to jump my car yet so I will update my review should I need to. However, the rest of the features on this are great. The light is very handy, the air pump worked great for my son's scooter tire (have not tried it on the car tire yet, figures my husband just got the slow leak fixed on his truck).<br /><br />My only complaint is that this is a little heavier and bigger than I would have liked so it will probably go in our truck and I will move our other one to our car. I understand that this is still very light and compact considering all it has to offer but thought it was worth noting."
positive,"The hitch was very high quality, paint is great, and the item was very easy to install. I installed it without help in approximately 20 minutes start to finish including clean-up.  I have used it a couple times and very easy to use. It is high quality and fits as specified."
positive,That a little piece of fabric could make such a big difference?!? Fab!
positive,Its is too high to fit under the visors so I added a tube between the handle and the shift knob to hold it in place.
positive,"Used this to clean my leather sofa, made the kids help.  Dont really have anything to compare it to, as this was my first time using leather cleaner before.  Dont have any complaints at all.  Plan on using it again as needed.  Would recommend it."
positive,We have a refrigerator in a newly built garage space that has a 4” concrete curb at base of interior wall. This perfectly protects the fridge door from any damage when it gets opened against the concrete surface. Very easy to install; cut with a serrated knife to fit. Good solution!
positive,"Dealer wanted $65 for this filter installed.  Installation takes about 30 seconds.  Despite looking superficially clean, my filter was definitely overdue for a change: this replacement got me an extra 4mpg."
positive,"Extremely good price versus the dealer. My symptoms initially was a frequent motor sound from under the dash, then eventually it went full hot or full cold, but if I smacked the motor it would work (just worn out) Once I figured out how the change it, it only took me a few minutes to install. Works perfectly and everything is COOL again."
positive,Call me lazy but this tray is a game changer! It holds my items very well and doesn’t make it uncomfortable to sit in the driver seat at all . 10/10 recommend
negative,The mirror in its clear plastic packaging appears to be foggy. Once opened it is okay.
positive,"Just installed it on BMW R1150GS (photos) and major points are:<br />- Very practical size for SLR camera, powered GPS or cell phone (inside map window), winter gloves, straps, misc stuff<br />- Securely mounts to curved tank with easily installed straps which can stay with bike<br />- Narrow design avoids handlebar bump (and annoying horn button contact on GS)<br />- Clever rain cover will expand up with tank bag and is quite secure, including anchor loops that go around bag's straps<br />- Looks nice, but can be easily removed and carried if it looks ""too nice"" to leave unattended<br />- Easy access to fuel cap if two front buckles are released and secured with strap keepers<br />- Build quality is very good but, as expected, not as heavy duty as tank bags costing over $200, especially map window<br />- Build materials appear more suited to highway use, not bouncing down dirt roads if it is heavily loaded<br />- No experience with its real world touring performance yet, but my 35 years of riding motorcycles and owning 7+ tank bags leads me to rate this one as a winner that will last a long time with reasonable care."
positive,"Installed on the serpentine belt tensioner of my 2005 Pontiac Grand AM 2.2L Ecotec.  A new tensioner was about $60. so just replacing this part was a cheap fix.  My old pulley had some deep grooves in it and I didn't want to reuse with the new serpentine belt. Getting the tensioner off is a bit difficult.  Installing the new pulley is easy, but the real trick is getting the tensioner back on in such a tight space and getting the bolt started.  Two people would make it easier, but I used grease to stick the tensioner to the engine while I got the bolt started."
positive,"Bought this quite some time ago and the first time I used it the battery was dead. Finally got to use it today and it is very easy to use, the display is easy to read during the day in the shade. You need to make sure that you store it so the on button doesn't get pushed as the case is relatively soft."
positive,"Although I ended up returning this because I decided I didnt need it, THISWAS A GREAT BUY. It was just as pictured  and a great price."
negative,I think my wife used these once. Theyre janky to say the least but I guess they do block the sun...
positive,"We loved the ease of having this on top of our Hyundai Tucson. We drove through multiple winter storms with blizzards, gale force winds, and driving rains. This held. We had suitcases and other random small objects shoved into this and it held the entire 1600 miles."
positive,"My son added headers to his 1975 Chevy Nova, and he need this part to get his automatic transmission hooked up properly.  He says it was pretty easy to do, and this works exactly like it is supposed to."
positive,"Here's something I learned the hard way when I changed a tire with an inner tube for the first time. If you don't inflate the tube a little before you spoon the tire over the rim with an iron, you will pinch and inevitably puncture the tube.<br /><br />I can't vouch for the longevity of this tube but it certainly does the job."
positive,Use this on the wheels on my F150. Works just fine. Holding up well. Great buy and great shipping.
positive,"Some reviews of this product and similar ones from other brands suggest replacing the grease fittings with 45 degree angles to allow easier fitment of the grease gun nozzle after installation.  I did this for the driver's side (first to go in) but upon close inspection it appears to be unnecessary.  On the passenger side I left the straight grease fitting in place and ran with it.  There is just a bit of bind when installing the grease gun nozzle but it is still easy enough to wiggle on and off.<br /><br />I don't know if there is a difference between the right and left sides of the axle housing, but the driver's side was extremely difficult to install and get seated, yet the passenger side just falls into place!  Also, the unit installed on the passenger side appears a little bit deformed on the inner surface - it is not round.  This caused a bind on the axle shaft.  Combined with the loose fit inside the axle housing, as the axle shaft rotates it will also rotate this dust seal until the grease fitting stops it from turning any further - there is about 1/4 free rotation total on the passenger side but the driver's side is a firm fit.<br /><br />Overall I really like this product.  This is soooo much better than the little plastic cap Dana used.  This should be an OEM part."
positive,"Best Windshield wipers I ever owned. Sturdy, cleans window, doesn't skip spots. Had another brand that was pretty flimsy. These are a major improvement on that."
negative,The item works very well till you try to unscrew the air hose then you will lose around 25% of the air out of your bike's tire. I guess it was not designed to work with bikes tires because it doesn't have a quick release and you can only unscrew it
positive,I love this unit.  I keep it hooked up whenever I don't intend to use my Ranger for a while.  I love starting up with a battery that's fully charged.  I'm using this on an Optima Yellow Top battery.
positive,Fit and worked perfectly on my 2008 Acura TSX. Very impressed for the price. Also didn't have to deal with a core charge.
positive,"Way cheaper than mopar, looks OEM, no issues! just remember to keep the wiring harness from the old one! I am an expert with these  vans and I don't mind these at all. Faster and cheaper than OEM. No quality issues so far."
negative,Did not fit as described<br />Fitting on servo end requires commercial installation of one time use fitting not on this hose.<br />Very few steering hoses are like one size fits all socks.<br />This one was not even the correct diameter.<br />One case where I should have paid more attention when buying and the pictures and reality did not match.  This was my fault.<br />Supposed to fit but not ever going to.
negative,"It is cheaply made as I said in the headline. If you only need a gauge set for occasional use, this can NOT be beat. When I was younger I was an auto mechanic and has a really good, glycerin filled set (stolen sadly). This does not compare to that but it worked just fine for setting up my mini split."
positive,This is a great product.  Very sturdy and easy to use.  I love the button that releases air while it's shoved into the valve stem.  You can easily get your tires exactly at the right pressure.
positive,Nice set up but did not have instructions and had to partially disassemble the lights to get them to fit into the bumper. The led running lights are a nice addition and the halogens are bright.
positive,"After comparing several name brand (Whelen, Federal) light bars, I picked this one and I'm glad I did!<br />Very bright, multiple patterns, excellent Plowing light!<br />I would highly recommend this!!"
positive,Does not fit on model y. Good for other SUVs or sedans.
negative,"Product seems great, however the seller listed it for the wrong motorcycle so I could not fit my bike"
positive,Love E-Autogrilles. I have bought several and have never been disappointed.
positive,Perfect fit and saved so much money by buying this and having someone put it in.
negative,We used this on an off white couch to try and remove some stains.  It brought back some luster to it but did nothing for the stains.  Was recommended by the company.
negative,"I bought this one used but it showed up without any instructions , missing nuts and bolts, cheap....."
positive,"I got these for my wife's car. Perfect fit, easy to install. Works on a 2006 Chevy Impala"
positive,He’s just so cute! He makes me smile just looking at him! The scent doesn’t last long but that’s not what I bought it for anyways!
positive,I was able to make this kit work for tethering a Stant brand cap to my car.
positive,I like this fob cover. It’s a little stiff but I expect it to soften over time. It’s nice looking too.
positive,I am a retired mechanical designer and I really appreciate a good innovative design and this is definitely that. I honestly haven't used it yet because I just finished lubing my cables using the plastic bag technique and thinking the whole time that there has to be a better way of doing this. So I got on Google and found this unit. As said this is an outstanding design and well made of quality materials. I will update this after using it.
positive,Use it to swipe my sweat off during my workout. I love it.
positive,"I ordered this primarily to collect crumbs as well as being easy to wipe off.  This fits that bill nicely.  It doesn't slide around on my seat and while it doesn't look amazing, it doesn't look crappy either.  I ordered a 2nd one."
negative,It’s alright… it’s works as it is. Just don’t think the quality is as it’s best. For what it is it’s ok.
positive,Necessary item for OSHA regulations.  You can clearly see pictogram.  I'm happy to have found them on Amazon.
positive,"Boyfriend just got a Rubicon - black with red accents - and this antenna was perfect to replace the ugly antenna that came 'stock' with his Jeep. Inexpensive, reception didn't change, and it looks great. No longer looks like a 1979 antenna trying to tune in a radio station on Jupiter. Or ""breaker 1-9"" with Smokey and the Bandit 😜."
positive,"The visor sticker/vinyl is great!  It's a simpler way to cover it up with something (tint, graphic or otherwise) without the hassle of heat and stretch products.<br /><br />I would like to suggest to the developer though, that the stickers be reversed, so they can be adhered from the inside of the helmet.  Reason being, while you can see through the sticker (perfectly fine when it's dry), when it rains the perforations fill with water, making it impossible.  If the sticker were on the inside of the visor, then that would not be an issue... making visibility MUCH better in wet weather.<br /><br />I'm going to buy a black one and hope that it's black on the stick side also and test that expectation."
positive,This is okay for a trunk. I wouldn't buy the floor mat edition of this.<br /><br />Overall is ok.
positive,"Installed great, didnt need the extension some say you do. Looking forward to easy changes! Why this is the first car I'm putting it in and not sooner, I have no idea. Oh this is my first vehicle with a high clearance lol"
negative,Don’t waste your money. Installed a pair and one of them started flickering within six months.
positive,"Great to have over a bicycle pump, or dragging out the compressor and hoses for anything that needs inflating."
positive,They look great on my 2010 ram 1500 big horn. wish they came with led reverse lights. A lot of reviews said they malfunction or the seals leak but I haven’t had any problems with mine so far 🤞🏼 Been three months
positive,This is exactly what I was looking for and I was able to do what I wanted. I would recommend this product
positive,"VERY tight fit, as it should be. Take the time to install straight and it works great."
positive,"Works.  Doesn't smell weird.  No staining.  Easy to use, non-clogging spray nozzle.  I really like being able to use one product for complete leather care.  It's also nice to have one bottle for my car, shoes, belts, etc.<br /><br />Bottom line: totally worth it!"
positive,I love these hooks. They go right onto the headrest in seconds. They are strong and can hold a lot of weight. We hang backpacks on them to make it easy for the kids to grab them when they are getting dropped off at school. They are good quality.
positive,"Great service from Amazon my body shop still had not called me, I went on Amazon and toy shock i go 2 day delivery, Amazon was faster by 5 days from what I thought. Good price. Walmart installed it for $12.00. I tell everyone everyday that I am so satisfied with my purchases from Amazon. I just received my 2nd one 5 days early."
positive,These license plate frames are really cute! I love bling so I knew I would love these! They are easy to install & look so nice! They also come with a couple extra rhinestones just in case you have any come off. But I haven’t had any problems with mine.
positive,The quality was much better then I  expected. Early arrival and a perfect fit.  I am going to buy one for another car this week.
positive,"got some aircraft wire key rings and they kept unscrewing....this solved that problem yes sir ree, yup! yup it did"
positive,Denso has always made good electronics. This part is no exception. It immediately turned off the &#34;Check Engine&#34; light in my car!
positive,"Worked as required, it's bracket mounts weren't perfectly seated so some filing with a rounded file was needed to make it fit in my 2003 Honda Civic."
positive,This is a great jumper. Hooked it up and in 10s started my engine on the first try. Look forward to winter!  Easy to charge!
positive,"Broke my side view on a trash can. This one installed in 15 minutes with normal tools and looks perfect. Four stars because the mirror distorts the image slightly and the stock one was better. I pried the stock one off of the broken mirror (it was affixed with adhesive) but I was scared to do the same to this new mirror setup in fear of breaking the plastic. The new mirror is passable, but just not quite the quality of the OEM Honda one. I'd purchase again."
positive,"We’ve tried just about everything on the market for Black Tank Treatment, this is by far the best product on the market. If you like sewer gas smell, stick with one of the other brands…"
positive,Been working like a charm now for 6 months bumper pulling up to 10k with it using a 1 ton dually Dodge.
positive,Worked as described and added much needed counter space to our RV.  Seems to be high quality and will last a long time.  We leave it in place on every trip and has never moved.
positive,These are a good quality but the rear mats do not fit as precisely as was expected for the price paid.
positive,Purchased for my 2020 CX-5 GTR and it fits perfectly.  I knew the console seemed to be missing something but did not realize what it was until found this while searching for car accessories. Ordered on a whim and so happy that I did.
positive,"I like this thing a little more that I thought I would. It is simple and inexpensive chrome plated plastic. One good whack from almost anything would take it out, but it works great and looks pretty good, especially at night. A fun novelty for your Dodge Ram. You just need the 4-prong trailer light harness to connect it and the 2&#34; square trailer hitch."
positive,"If you are new to RVs, buy this. If you’re old school and don’t have this, buy it. You will not regret because the day will come when you want to fill your fresh water tank with ease. This connects to your RV and secures your fresh water line to your RV. It’s a must have for all."
positive,nice and heavy. built to spec.  snug perfect  fit.  no loss in power!  cant go wrong with these in addition to your plugs!
positive,We bought a beater for our son and didn't want to put much into the car. We installed these and they work great. Saved $300 from what the garage wanted
positive,"Well made and a must have item to back flush your tanks.  Dump the tank, then refill through this cap being careful not to overfill, then dump the tank again.  Do this each time at least once if possible.  Some rvs will come with this type of cap and some don't."
positive,Great easy to use compact adapter that is a life saver.
negative,"Absolutely does not fit a 2012 Chevy Tahoe despite what the guide says. They do not take returns, so I had to dispose of a brand new, very expensive battery. Never. Again. Avoid Optima at all costs."
positive,"While not the softest or most plush, these towels absorb a ton of water; more than the other brands that I have. I have three different reputable brands, Chemical Guys, Griots and The Rag Company and these are by far the best. Great absorbency, as I said, but also does not scratch the paint. I only need on on my Wife’s Infiniti and two will dry my F-150 Crew Cab. These are worth every penny, thus why I bought a second pack."
positive,"Neighbors’ umbrella blew into our truck and scratched along the whole side and tailgate! Of course they didn’t have insurance, so I decided to DIY it. Got rid of about 85% of all the marks, leaving just the very deep ones although they were still less visible afterwards. I’m extremely pleased with the result, especially at such an affordable cost! I’ll buy again if I ever need it!"
positive,"Required this socket to change oil on 2009 chevy. I was unable to access the oil filter without the socket. Previous to this purchase, I would strip the rubber trying to gain access to the oil filter."
positive,Can't beat this deal.  Just put them on so far so good
positive,The clips worked well. I wished there a few more of the smaller (narrower) size but all the clips seemed to be good quality for the price. I used them on a prius.
positive,"these work fine, you will have to use your brain when installing them.  They are rubber and make an interference fit, it HAS TO INSTALL TIGHT or it would fall out.  appeared to be a branded product, not generic china."
positive,"I use this tire on both front and rear of my 06 zx10-r.... On a regular basis I will ride the bike through all sorts of rainy and sunny days. I only bother to slow down if the water is puddling due to heavy rainfall. Steady rains that just make the roads wet are nothing. Heavy rains that cause minor flooding, I personally choose to slow down. These tires are impressive. I feel like the bike rides smoother and better with them."
positive,Fit in perfectly. Only issue is that my factory gas cap does not fit.
positive,"Great tool, works perfect,instead of cranking down on it ,tighten up good and TAP clutch with hammer ,it pops right off ."
positive,"After watching my OEM license plate screws start to rust after only a year of ownership (brand new vehicle), I decided to purchase these to fill the cheap gap that the dealerships left.<br /><br />Perfect fit for my Hyundai vehicles, and no more rust stains on my plates! Great buy, exact fit. Highly recommended."
positive,"Ordered for a 2017 Audi Q5 2.0 Premium that needed the Service Due! message cleared from the DIC. Changing the service interval in MMI will not clear this message. I put in the ANCEL, followed app directions, and on first try the message was cleared. Easy to understand and and use. Saves me the trip and the expense to Audi. Thanks!"
positive,How love how this folds up neatly and I can tuck it beside the passenger seat.  I works great!
positive,"The only thing that let me know that these are budget hand guards was the poor job de-burring some of the metal pieces. They are just as strong as tusk or acerbis hand guards that I have owned in the past. The installation was the same as any set of bark busters, a little bit of force and bending here and there is necessary. The plastic portions look good and compliment the bike nicely. I'll keep buying these over the name brand ones any day."
positive,worked perfectly for a great price.  Order a 9v battery because it does not come with one.
negative,I plugged this into my SUV trunk charger and it flickered and did not work. I would not recommend this product.
positive,This is so cute and not cheap looking. It has a little weight to it and sparkles so much when the sun hits it. I ordered the shortest one after reading some of the reviews. Some reviewers said theirs hit the dash or navigation. That’s why I chose the short one. This hangs perfectly on my review mirror. I love love love this item.
positive,"I like this charger, but was disappointed that it only comes with a set of charging clamps.  I have a smaller noco charger with x-connect accessories, but this much larger and more expensive unit is not compatible with the x-connect accessories due to having a totally different sized connector.  There is an x-connect label on the back of the box of this G26000 charger but it is not compatible.  I was disappointed in that.  I am trying to discuss this via email with NOCO."
positive,I am tickled with my license plate. It is sturdy and beautiful. I'm glad I got it!
negative,"Junk, they looked nice at first but after the first week they were rusting. Returned."
negative,"Fits well, however not enough clamps to secure in place. Went and purchased conduit clams and placed 4 more. The last line of the instruction stated not intended for open trailer transport . Junk"
positive,"Easy to use and immediately eliminated the shuddering issue.  I was hesitant to try but couldn’t ask for a better, inexpensive solution."
positive,Very Happy with my fitted LoGo HD cap. Wish more was out there. Love it
positive,worked fine...went on with no problems and I like the price much better than the cycle shop's price...next time for sure
positive,"I had to modify the hitch to work on my 2016 cub cadet xt1 Enduro series 46&#34; hydrostatic riding mower.  I cut off both rear corners (corners with the holes) and drilled two new holes.  The vertical section of the Cub Cadet hitch plate is not flat.  It has two corrugations inline with the bolt holes.  I cut the corners from the hitch to allow it to fit between the corrugations and fit flush against the vertical section of the hitch plate.  The hitch is extremely well made.  Knowing what I know now, I would still purchase this hitch for my Cub Cadet."
negative,Don't waste your money on this piece of crap - You will need a pretty powerful corded dril to use it and even then I doubt it would work well...
positive,"over the years I've watched a lot of wax Products  come and go and a lot of claims made. But this has been the best and most consistent wax product I have use for my cars and trucks.  it goes on smooth and easy, wipes off smooth and easy, lasts an entire season. Usually I double wax so don't have to relax for an entire year.<br /><br />Bottom Line: smooth on, smooth wipe off, long tough shine. Easily earns *****5***** Stars!"
negative,"Great price compared to the US version, but does not work consistently.  When it is cold in the mornings or the car has not warmed up yet, the sensor does not work.  Once the car has warmed up, it begins working properly again."
positive,Great thick-real rubber oem mats<br /><br />Perfect fit on 2023 cx-5
positive,Great Toyota quality replaced grommet while replacing my PCV Valve on my 2001 Camry have a great day everyone
negative,Like the way it looks BUT VERY POOR RECEPTION ON EVEN LOCAL STAIONS. Bought a 12.00 antana from local auto shop and works GREAT.
positive,"I like this lock better than the previous lock I had. It works very well with ""Bulldog"" type hitches, which need about 2.5 inches of shaft. This one works a bit differently than most. Rather than simply a machined groove on the shaft, this shaft is threaded. The locking portion is a nut that threads on to the shaft. This allows you to tighten it down as far as you need for a tight fit. Remove the key  and the nut spins freely so it can't be removed. A great idea!"
positive,Great item! Sun is completely blocked. It's super easy to put on or take off the car and keeps the sun off my little one.
positive,"Put these in a 2010-2015 model Honda Pilot with the Rear Entertainment Package (RES). These things are AWESOME. The RES Pilot, and I presume the Touring Pilot as well, has a design flaw: When in reverse at night, the image for the rear view camera is dimmed. There is a manual override button, so it's not insurmountable, but by default, the image is inadequate for assisting in backing up. However, with the bad boys installed, even the astronauts on the International Space Station have a good view of what is behind my vehicle. You want to see what is behind your vehicle? You want to be extremely visible to others when backing out of a parking space? Then you want these lights."
negative,"I used to love Purolator oil filters.  It is the only brand that I would use.  However, the last two have leaked around the gasket.  I won't be using anymore."
positive,Wish it had more options but great to charge a loose battery or jump
positive,"This works great on my Suzuki Boulevard C50. It was easy to install, and its been months now and no leaks. K&N is always great!"
negative,DOES NOT HONOR WARRANTY!!!!!!! I’ve now made multiple attempt to warranty my shocks bought less than a year ago and they won’t even respond
positive,"These grips are comfortable. Big, cushy comfort nd they look great. They went on my Intruder 1400 like they were meant to be there and the throttle boss does fit."
positive,"works great, but if your rims are complicated or extra dirty, you might want to consider restraining the bristles but putting a wire tie around the bristles at whatever distance gives you the amount of firmness you need"
negative,"Really a perfectly designed product for my old Acura that doesn't have a drink holder...but the faux leather wrap started coming off within one or two uses. So, it does the job well, but looks kind of ratty, pretty quickly."
positive,These blue wires look awesome when I open the hood. They are working fine so far!
negative,"The gasket fits fine around the GM transmission.<br />However, the rubber rings around the neck of the filter do not come off.<br />When I pulled out the previous fluid filter, the rings stayed in the transmission because it was stuck.<br />I tried my best to get it out but could not.<br />Because the rings do not come off the filter, I was unable to use it and had to reuse the one already in the transmission.<br />The filter looks fine and would have fit fine.<br />Just be careful if you plan on doing a fluid flush since you might not be able to get the new filter into its spot.<br /><br />Quick shipping, and quality seems good."
positive,"Bought this for my new Crosstrek, it works great, no more loud noise when I close the hatchback."
positive,Great camping addition to clean and deodorize your tank.  Works well.
positive,I really like it. It feels nice and it looks good. It has a good and comfortable grip.
negative,Useful for use on vehicles when there are long periods without use.
positive,"These are nice and bright. They seem to fit side specific and it would be nice if they came with screws. The factory ones seem easy to strip. These also don’t sit quite as flush as the OEM. We also got no computer errors!  Overall they work great, provide plenty of light and look good. Great price."
positive,"I use the red lights under the dash and under my seats.  I love the way they look, and they're,actually quite functional at night when I open the doors."
positive,"We have a little used pickup, a garden tractor and a 52"" lawn mower to protect plus three 5 gallon cans for refills when necessary.  So we need more than 4 cans this size treat all our fuel for the winter.  We sadly learned our lesson the hard way when the first spring out of storage the garden tractor would not start.  Ultimately we had to winch it onto a trailer and have the dealer correct the problem.  As they handed me the eye-popping bill when I came  to pick it up, they mentioned, ""you would not believe how much water we had to purge from your fuel system including your fuel injectors and cleaning them""!  Lesson learned!"
positive,Perfect fit for my 2013 Elantra. Came in just in time. Same day it came in it was going to start raining. Put it over my car and the next day it was perfect. The material looks and feels tough. Had it for a few weeks now and a few storms later. The cover still looks good as new. Love this car cover. Even comes with a bag to tuck it away and a lock.
positive,"Bolted right on with no problem, was able to remove rear plug for my power brakes , no problem. Car runs much better  Great deal"
positive,Ordered a set of replacement handlebar clamps for a mini bike and these works perfectly.
positive,"This is a battery tender (keeps it charged) for a Deltran Battery Tender's line of Lithium Iron Phosphate batteries.<br />These batteries are designed to replace Flooded, AGM, and Gel cell lead acid batteries in power sport applications such as ATVs, SeaDoo type watercraft, scooters, motorcycles, etc...any vehicle or watercraft that has a compatible Battery Tender battery.<br /><br />This is a family owned company. Last year (2013) they started producing high output Lithium Iron Phosphate (LifePO4) Batteries and Battery Chargers.<br /><br />To me, this is what makes me have a LOT of confidence in the product as well as the integrity of the company...California has some of the most rigid and strict laws in the country for safety and efficiency of consumer goods. We have all seen 'not shippable to CA' on certain products.<br />The following is from the Battery Tender website:<br />&#34;Starting in 2013 all non-commercial battery chargers manufactured after February and sold in California must conform to the new “Appliance Efficiency Program” in coordination with the California Energy Commission.<br />Mike Prelec Sr. CEO stated, “Battery Tender® has been supplying high-efficiency battery chargers for over 10 years to the European market with the CE certification. We have spent the better part of a year redesigning our units to meet the new stringent standards of both California and Europe. The units have also been re-qualified by Underwriters Labs and/or ETL.”<br /><br />The California regulation is designed to reduce the strain on the power grid caused by inefficient consumer electronics. Eventually the rest of the country will follow suit!&#34;"
negative,"I brought the sign a few weeks ago, after one car wash the sticker was gone. I see why it comes with 2. I don't recommend this product. It s expensive for nothing."
positive,This is the perfect steering wheel for my 91 Camaro convertible. Perfect size for me. Looks great. Love driving with this new steering wheel. The leather work is top notch. Fast shipping too.
negative,"&#34;And with the jumbo size of 27.6 x 51.2 inches, the shade will cover even the biggest windshields to not only keep out the heat, but also keep people from looking inside the car.&#34; This is not true, this shade is a full nine inches short of covering my Dodge Ram pickup left to right. Wish I had measured before ordering rather than relying on the spec sheet."
positive,"Excellent. Must have for your garage or any DIY projects to keep track of loose screws, nuts, bolts, washers, etc."
positive,I ordered two of these key fobs. They work really nice and have good distance.
positive,"Just what I was ;looking for.  Speedy shipping, and it works great!"
negative,"Bought these pads to pair w the Amazon Basic Stands but they’re ill fitting & don’t seem very secure. Nothing wrong w the quality, just didn’t seem to be a good fit."
positive,"So far, so good. Arrived in excellent condition, zero damage. ATF cooler line fittings were already installed, including quick connect springs. Fit just like the original."
positive,"I've heard lots of bad things about those chinese knockoffs not fitting right and threads not being the same, so I just went ahead and ordered the real Motorcraft thing and Bingo! no problems at all installing it, the only thing is that the gasket wasn't included, it costs approx $2.40 at AutoZone, oh well, I'm happy cause no more coolant leaks! my truck is a 1997 and it was the original part that finally gave away to corrosion, 21 years isn't so bad, I hope this one lasts as much as the original."
negative,"2/6/2023 update.  Stopped working.  It was slow and now it won't go up or down.  I contacted seller for replacement.  Purchased/delivered 11/29/2023 and the return windows closed on 1/31.  Weather was nice today too.  It had been super cold and wet so didn't really use it during the time I had it.<br /><br />My vehicle is 21 years old.  I have had to replace all but one window regulator.  This one was the second time i've had to replace for this exact window.<br />Motor goes down quick, rolling window fully open. It goes up slow, closing window completely.  it is what it is.<br />You definitely can't beat the price.  I know these replacement parts are more expensive at big box parts dealers and will also fail in a few years.  Just buying time with these.<br /><br />Very easy to install, once you see a good quality video.  The one window regulator that was still original to the vehicle died two days before I replaced this one I just purchased.  I was able to compare the parts to each other.<br /><br />Wouldn't you know it... the exact same piece was broken on both of them!  I had kept all the other window regulators from vehicle, and other similar vehicle, and was able to use some pieces to fix ONE regulator. Not the case this time.<br /><br />The part that breaks is a simple roller guide where one end of the cable pulley connects. They are all made of plastic and take a bulk of the operation stress.<br /><br />The OEM plastic was a bit thicker than the new replacement one.<br /><br />So for less that $50 for the part and your own labor, this is a great fix.  if you have to pay someone... wow, just doesn't feel right.<br /><br />I have personally replaced 10 of these on my own vehicles. Sounds like a lot, but the cars were worth the simple repair.  21 & 15 year old vehicles and this has been the most major repair on them.  Not bad.<br /><br />Thanks Amazon for finding the Old Stock at great prices! Usually at half to 75% off OEM prices."
positive,"This was a great addition to dads bragging about his Navy daughter. If we had another vehicle, we would for sure buy another! Great product."
negative,It doesn't replace the air hose at the gas station but it works fine for filling up a tire if you have a little time.
positive,This product works well and is way cheaper than buying from the dealership. It was easy to install and looks nice on my car.
negative,"Well, I just got this in mail and I can tell it's CHEAP. Poor quality and I have no idea how it will stand up to any wind as it's thinner than others I've owned. I will say that its huge and should fit the SUV I own 4Runner, however I am very concerned about ripping and tearing just trying to remove from a partially frozen window. I've got thicker material on my grill cover as this thing is less than half that weight."
positive,Fixed the horrible start up/shut down vibration on my 04 Chevy trailblazer with the 4.2l and still working great after 3000 miles. Purchase a passenger side motor mount heat shield before starting this project because they are very hard to find.
positive,"I bought this to replace the outdoor shower head on my Class B motorhome, which lacked pressure. This is only slightly better in that regard, but it is much more convenient to use, and because it’s smaller, it’s easier to store. The thumb lever is easy to use, and it locks and unlocks intuitively."
positive,"After trying this in my wife rav4 I'm switching everything to this oil. I use Mobil 1 advanced  synthetic in everything now except my wife's car. My truck, tractor, lawnmower, weedeaters 4cycle is going to Pennzoil.  Pouring it in to the car you see that it's a very light golden color compare to Mobil 1, Mobil 1 has been good to my vehicles but Pennzoil is better from the tests I've seen and it's cheaper than Mobil 1, try it you'll make the change to !"
positive,Perfect for the garage! We used these in the garage and they work great! Wish they came a little longer as we sometimes vary our parking stance in the garage.  Buy two per door you need.
negative,fluid looks good but the seals on the 4 jugs i bought were so old they broke down and were failing when i took the lid off. i clearly got old stock but the product still served its purpose well
negative,"For about a quarter of the price of the manufacturer's offering, perhaps I shouldn't complain, but I will anyway... the fabric tore before I even used it the first time, and the little clips obviously need to be turned 90 degrees so they will stay on the headrest posts. Additionally, I don't know if the manufacturer's item would be better in this regard, but I can simply look through the side windows and see everything underneath the cover. Why call it a cargo cover if it doesn't cover the cargo?"
